as_of_date,source_name,silicon_id,gpu_model,gpu_variant,form_factor,interconnect_substrate,commitment_term,interruptibility,deployment_class,region,region_country,factory_type,tier_v3,operator_tier,price_usd_per_hour,bundled,bundled_inclusions,availability_state,methodology_version,source_status,region_raw
2026-08-20,runpod_secure,b200-sxm-180gb,B200,180GB,SXM,IB-NDR,1Y,NonInterruptible,Reserved,Other,Other,DIF,T2IF,T3,6.7900,True,local-nvme,Available,v2.4.0,panel,Global
2026-08-20,runpod_secure,b200-sxm-180gb,B200,180GB,SXM,IB-NDR,3M,NonInterruptible,Reserved,Other,Other,DIF,T2IF,T3,6.7900,True,local-nvme,Available,v2.4.0,panel,Global
2026-08-20,runpod_secure,b200-sxm-180gb,B200,180GB,SXM,IB-NDR,6M,NonInterruptible,Reserved,Other,Other,DIF,T2IF,T3,6.7900,True,local-nvme,Available,v2.4.0,panel,Global
2026-08-20,shakti_cloud,b200-sxm-180gb,B200,180GB,SXM,IB-Unspecified,1M,NonInterruptible,Reserved,APAC,APAC,SIF,T2IF,T2,4.9396,False,,Available,v2.4.0,panel,IN
2026-08-20,spheron,b200-sxm-180gb,B200,180GB,SXM,Unknown,OnDemand,Interruptible,Spot,Other,Other,DIF,T3IF,T3,5.3376,False,,Available,v2.4.0,panel,me-west-1
2026-08-20,spheron,b200-sxm-180gb,B200,180GB,SXM,Unknown,OnDemand,Interruptible,Spot,US-Central,US,DIF,T3IF,T3,5.3376,False,,Available,v2.4.0,panel,us-central-1
2026-08-20,together,b200-sxm-180gb,B200,180GB,SXM,IB-NDR,OnDemand,NonInterruptible,OnDemand,US-East,US,SIF,T1IF,T2,8.1900,True,local-nvme;support-tier;observability;managed-ops-plane,Available,v2.4.0,panel,US
2026-08-20,together,b200-sxm-180gb,B200,180GB,SXM,IB-NDR,1M,NonInterruptible,Reserved,US-East,US,SIF,T1IF,T2,7.9900,True,local-nvme;support-tier;observability;managed-ops-plane,Available,v2.4.0,panel,US
2026-08-20,together,b200-sxm-180gb,B200,180GB,SXM,IB-NDR,3M,NonInterruptible,Reserved,US-East,US,SIF,T1IF,T2,7.7900,True,local-nvme;support-tier;observability;managed-ops-plane,Available,v2.4.0,panel,US
2026-08-20,together,b200-sxm-180gb,B200,180GB,SXM,IB-NDR,6M,NonInterruptible,Reserved,US-East,US,SIF,T1IF,T2,6.7900,True,local-nvme;support-tier;observability;managed-ops-plane,Available,v2.4.0,panel,US
2026-08-20,upcloud,b200-sxm-180gb,B200,180GB,SXM,Unknown,OnDemand,NonInterruptible,OnDemand,EU,EU,SIF,T2IF,T2,5.2222,False,,Available,v2.4.0,panel,EU-FI
2026-08-20,upcloud,b200-sxm-180gb,B200,180GB,SXM,Unknown,OnDemand,Interruptible,Spot,EU,EU,DIF,T2IF,T2,3.9167,False,,Available,v2.4.0,panel,EU-FI
