as_of_date,scope,n_sources,n_sources_8x,stockout_any_mean,stockout_any_min,stockout_any_max,stockout_8x_mean,n_cycles_median,methodology_version
2026-06-26,tier:T2,1,1,1.0,1.0,1.0,1.0,4,v2.2.0
2026-06-26,tier:T3,1,0,0.0,0.0,0.0,,4,v2.2.0
2026-06-27,geo:US,2,2,0.5,0.0,1.0,0.5,4,v2.2.0
2026-06-27,global,4,3,0.375,0.0,1.0,0.6667,4,v2.2.0
2026-06-27,tier:T1,2,2,0.5,0.0,1.0,0.5,4,v2.2.0
2026-06-27,tier:T2,1,1,0.5,0.5,0.5,1.0,4,v2.2.0
2026-06-27,tier:T3,1,0,0.0,0.0,0.0,,4,v2.2.0
2026-06-28,geo:US,2,2,0.5,0.0,1.0,0.5,3,v2.2.0
2026-06-28,global,4,3,0.5,0.0,1.0,0.6667,3,v2.2.0
2026-06-28,tier:T1,2,2,0.5,0.0,1.0,0.5,3,v2.2.0
2026-06-28,tier:T2,1,1,1.0,1.0,1.0,1.0,3,v2.2.0
2026-06-28,tier:T3,1,0,0.0,0.0,0.0,,3,v2.2.0
2026-06-29,geo:US,2,2,0.5,0.0,1.0,0.5,4,v2.2.0
2026-06-29,global,4,3,0.4375,0.0,1.0,0.6667,4,v2.2.0
2026-06-29,tier:T1,2,2,0.5,0.0,1.0,0.5,4,v2.2.0
2026-06-29,tier:T2,1,1,0.75,0.75,0.75,1.0,4,v2.2.0
2026-06-29,tier:T3,1,0,0.0,0.0,0.0,,4,v2.2.0
2026-06-30,geo:US,2,2,0.875,0.75,1.0,0.875,4,v2.2.0
2026-06-30,global,4,3,0.5625,0.0,1.0,0.6667,4,v2.2.0
2026-06-30,tier:T1,2,2,0.5,0.0,1.0,0.5,4,v2.2.0
2026-06-30,tier:T2,1,1,1.0,1.0,1.0,1.0,4,v2.2.0
2026-06-30,tier:T3,1,0,0.25,0.25,0.25,,4,v2.2.0
2026-07-01,geo:US,2,2,0.9,0.8,1.0,0.9,5,v2.2.0
2026-07-01,global,4,3,0.5,0.0,1.0,0.6667,5,v2.2.0
2026-07-01,tier:T1,2,2,0.5,0.0,1.0,0.5,5,v2.2.0
2026-07-01,tier:T2,1,1,1.0,1.0,1.0,1.0,5,v2.2.0
2026-07-01,tier:T3,1,0,0.0,0.0,0.0,,5,v2.2.0
2026-07-02,geo:EU,1,0,0.4,0.4,0.4,,5,v2.2.0
2026-07-02,geo:US,2,2,0.75,0.5,1.0,0.75,6,v2.2.0
2026-07-02,global,5,3,0.48,0.0,1.0,0.6667,6,v2.2.0
2026-07-02,tier:T1,2,2,0.5,0.0,1.0,0.5,6,v2.2.0
2026-07-02,tier:T2,1,1,1.0,1.0,1.0,1.0,6,v2.2.0
2026-07-02,tier:T3,1,0,0.0,0.0,0.0,,6,v2.2.0
2026-07-03,geo:US,2,2,0.5833,0.1667,1.0,0.5833,6,v2.2.0
2026-07-03,global,4,3,0.5,0.0,1.0,0.6667,6,v2.2.0
2026-07-03,tier:T1,2,2,0.5,0.0,1.0,0.5,6,v2.2.0
2026-07-03,tier:T2,1,1,1.0,1.0,1.0,1.0,6,v2.2.0
2026-07-03,tier:T3,1,0,0.0,0.0,0.0,,6,v2.2.0
2026-07-04,geo:US,2,2,0.5,0.0,1.0,0.5,7,v2.2.0
2026-07-04,global,4,3,0.4643,0.0,1.0,0.6667,7,v2.2.0
2026-07-04,tier:T1,2,2,0.5,0.0,1.0,0.5,7,v2.2.0
2026-07-04,tier:T2,1,1,0.8571,0.8571,0.8571,1.0,7,v2.2.0
2026-07-04,tier:T3,1,0,0.0,0.0,0.0,,7,v2.2.0
2026-07-05,geo:US,2,2,0.5,0.0,1.0,0.5,6,v2.2.0
2026-07-05,global,4,3,0.5,0.0,1.0,0.6667,6,v2.2.0
2026-07-05,tier:T1,2,2,0.5,0.0,1.0,0.5,6,v2.2.0
2026-07-05,tier:T2,1,1,1.0,1.0,1.0,1.0,6,v2.2.0
2026-07-05,tier:T3,1,0,0.0,0.0,0.0,,6,v2.2.0
2026-07-06,geo:US,2,2,0.8,0.6,1.0,0.8,5,v2.2.0
2026-07-06,global,4,3,0.5,0.0,1.0,0.6667,5,v2.2.0
2026-07-06,tier:T1,2,2,0.5,0.0,1.0,0.5,5,v2.2.0
2026-07-06,tier:T2,1,1,1.0,1.0,1.0,1.0,5,v2.2.0
2026-07-06,tier:T3,1,0,0.0,0.0,0.0,,5,v2.2.0
2026-07-07,geo:US,2,2,1.0,1.0,1.0,1.0,6,v2.2.0
2026-07-07,global,4,3,0.5417,0.0,1.0,0.6667,6,v2.2.0
2026-07-07,tier:T1,2,2,0.5,0.0,1.0,0.5,6,v2.2.0
2026-07-07,tier:T2,1,1,1.0,1.0,1.0,1.0,6,v2.2.0
2026-07-07,tier:T3,1,0,0.1667,0.1667,0.1667,,6,v2.2.0
2026-07-08,geo:US,2,2,1.0,1.0,1.0,1.0,7,v2.2.0
2026-07-08,global,4,3,0.5,0.0,1.0,0.6667,7,v2.2.0
2026-07-08,tier:T1,2,2,0.5,0.0,1.0,0.5,7,v2.2.0
2026-07-08,tier:T2,1,1,1.0,1.0,1.0,1.0,7,v2.2.0
2026-07-08,tier:T3,1,0,0.0,0.0,0.0,,7,v2.2.0
2026-07-09,geo:US,2,2,1.0,1.0,1.0,1.0,5,v2.2.0
2026-07-09,global,4,3,0.5,0.0,1.0,0.6667,5,v2.2.0
2026-07-09,tier:T1,2,2,0.5,0.0,1.0,0.5,5,v2.2.0
2026-07-09,tier:T2,1,1,1.0,1.0,1.0,1.0,5,v2.2.0
2026-07-09,tier:T3,1,0,0.0,0.0,0.0,,5,v2.2.0
2026-07-10,geo:US,2,2,1.0,1.0,1.0,1.0,6,v2.2.0
2026-07-10,global,4,3,0.5417,0.0,1.0,0.6667,6,v2.2.0
2026-07-10,tier:T1,2,2,0.5,0.0,1.0,0.5,6,v2.2.0
2026-07-10,tier:T2,1,1,1.0,1.0,1.0,1.0,6,v2.2.0
2026-07-10,tier:T3,1,0,0.1667,0.1667,0.1667,,6,v2.2.0
2026-07-11,geo:US,2,2,1.0,1.0,1.0,1.0,7,v2.2.0
2026-07-11,global,4,3,0.5,0.0,1.0,0.6667,7,v2.2.0
2026-07-11,tier:T1,2,2,0.5,0.0,1.0,0.5,7,v2.2.0
2026-07-11,tier:T2,1,1,1.0,1.0,1.0,1.0,7,v2.2.0
2026-07-11,tier:T3,1,0,0.0,0.0,0.0,,7,v2.2.0
2026-07-12,geo:US,2,2,1.0,1.0,1.0,1.0,7,v2.2.0
2026-07-12,global,5,3,0.5714,0.0,1.0,0.6667,7,v2.2.0
2026-07-12,tier:T1,2,2,0.5,0.0,1.0,0.5,7,v2.2.0
2026-07-12,tier:T2,1,1,1.0,1.0,1.0,1.0,7,v2.2.0
2026-07-12,tier:T3,1,0,0.0,0.0,0.0,,7,v2.2.0
2026-07-13,geo:US,2,2,1.0,1.0,1.0,1.0,6,v2.2.0
2026-07-13,global,4,3,0.5833,0.0,1.0,0.6667,6,v2.2.0
2026-07-13,tier:T1,2,2,0.5,0.0,1.0,0.5,6,v2.2.0
2026-07-13,tier:T2,1,1,1.0,1.0,1.0,1.0,6,v2.2.0
2026-07-13,tier:T3,1,0,0.3333,0.3333,0.3333,,6,v2.2.0
2026-07-14,geo:US,2,2,0.7143,0.4286,1.0,0.7143,7,v2.2.0
2026-07-14,global,4,3,0.5357,0.0,1.0,0.619,7,v2.2.0
2026-07-14,tier:T1,2,2,0.5,0.0,1.0,0.5,7,v2.2.0
2026-07-14,tier:T2,1,1,0.8571,0.8571,0.8571,0.8571,7,v2.2.0
2026-07-14,tier:T3,1,0,0.2857,0.2857,0.2857,,7,v2.2.0
2026-07-15,geo:US,2,2,1.0,1.0,1.0,1.0,7,v2.2.0
2026-07-15,global,4,3,0.6786,0.0,1.0,0.9048,7,v2.2.0
2026-07-15,tier:T1,2,2,0.8571,0.7143,1.0,0.8571,7,v2.2.0
2026-07-15,tier:T2,1,1,1.0,1.0,1.0,1.0,7,v2.2.0
2026-07-15,tier:T3,1,0,0.0,0.0,0.0,,7,v2.2.0
2026-07-16,geo:US,2,2,1.0,1.0,1.0,1.0,7,v2.2.0
2026-07-16,global,4,3,0.5,0.0,1.0,0.6667,7,v2.2.0
2026-07-16,tier:T1,2,2,0.5,0.0,1.0,0.5,7,v2.2.0
2026-07-16,tier:T2,1,1,1.0,1.0,1.0,1.0,7,v2.2.0
2026-07-16,tier:T3,1,0,0.0,0.0,0.0,,7,v2.2.0
2026-07-17,geo:US,2,2,0.9286,0.8571,1.0,0.9286,7,v2.2.0
2026-07-17,global,4,3,0.6429,0.1429,1.0,0.8095,7,v2.2.0
2026-07-17,tier:T1,2,2,0.7143,0.4286,1.0,0.7143,7,v2.2.0
2026-07-17,tier:T2,1,1,1.0,1.0,1.0,1.0,7,v2.2.0
2026-07-17,tier:T3,1,0,0.1429,0.1429,0.1429,,7,v2.2.0
2026-07-18,geo:US,2,2,0.5,0.0,1.0,0.5,1,v2.2.0
2026-07-18,global,4,3,0.5,0.0,1.0,0.6667,1,v2.2.0
2026-07-18,tier:T1,2,2,0.5,0.0,1.0,0.5,1,v2.2.0
2026-07-18,tier:T2,1,1,1.0,1.0,1.0,1.0,1,v2.2.0
2026-07-18,tier:T3,1,0,0.0,0.0,0.0,,1,v2.2.0
